customer_id,company_name,business_type,industry_segment,city,state,tier,acquisition_channel,account_manager_id,onboarding_date,kyc_status,segment_label,is_active,created_at,updated_at
VP_C_00000001,Vala Ltd,SME,Logistics_Transport,Nashik,Maharashtra,T3,Partner_Referral,,2023-07-01,VERIFIED,,False,2023-07-01 10:00:00,2026-01-13
VP_C_00000002,Prashad Ltd,Freelancer,Food_Beverage,Hyderabad,Telangana,T1,Inside_Sales,CSM_0016,2025-05-09,PENDING,Gold,False,2025-05-09 08:00:00,2026-02-04
VP_C_00000003,Dugal-Mannan,Startup,Retail_Electronics,Mumbai,Maharashtra,T1,Inbound_Web,CSM_0034,2025-02-25,VERIFIED,,True,2025-02-25 13:00:00,2026-02-06
VP_C_00000004,Swamy-Deo,Enterprise,Healthcare_Pharmacy,Jaipur,Rajasthan,T2,Digital_Organic,,2025-04-11,VERIFIED,Silver,True,2025-04-11 09:00:00,2026-03-25
VP_C_00000005,"Varkey, Murty and Lala",SME,Financial_Services,Kolkata,West Bengal,T1,Digital_Organic,CSM_0006,2024-12-14,VERIFIED,Silver,True,2024-12-14 11:00:00,2026-02-18
VP_C_00000006,Sen-Shetty,SME,Travel_Hospitality,Kolkata,West Bengal,T1,Inside_Sales,CSM_0002,2023-01-09,VERIFIED,Silver,False,2023-01-09 13:00:00,2026-02-27
VP_C_00000007,Chauhan Ltd,SME,Travel_Hospitality,Chennai,Tamil Nadu,T1,Inbound_Web,CSM_0006,2023-05-08,VERIFIED,Bronze,False,2023-05-08 14:00:00,2026-01-26
VP_C_00000008,"Gala, Venkataraman and Varma",Startup,Retail_Grocery,Hyderabad,Telangana,T1,Field_Sales,CSM_0012,2024-04-18,VERIFIED,Bronze,False,2024-04-18 11:00:00,2026-02-17
VP_C_00000009,"Patla, Bhardwaj and Panchal",Enterprise,Media_Entertainment,Rajkot,Gujarat,T3,Digital_Organic,,2024-01-15,VERIFIED,,False,2024-01-15 17:00:00,2026-02-11
VP_C_00000010,Chakrabarti-Mody,Startup,Financial_Services,Agra,Uttar Pradesh,T3,Partner_Referral,CSM_0084,2025-08-16,VERIFIED,,True,2025-08-16 18:00:00,2026-03-12
VP_C_00000011,Ramanathan and Sons,SME,Tech_Startup,Bengaluru,Karnataka,T1,Inside_Sales,CSM_0005,2023-07-17,VERIFIED,Silver,False,2023-07-17 15:00:00,2026-02-19
VP_C_00000012,"Chahal, Dora and Patla",Freelancer,Education_EdTech,Varanasi,Uttar Pradesh,T3,Inbound_Web,,2024-03-31,VERIFIED,,True,2024-03-31 12:00:00,2026-01-30
VP_C_00000013,Tiwari Ltd,Startup,Retail_Fashion,Indore,Madhya Pradesh,T2,Inside_Sales,,2023-01-10,VERIFIED,Bronze,True,2023-01-10 16:00:00,2026-02-15
VP_C_00000014,Chaudry LLC,SME,Retail_Grocery,Delhi,Delhi,T1,Partner_Referral,CSM_0017,2023-08-15,VERIFIED,Bronze,True,2023-08-15 18:00:00,2026-03-30
VP_C_00000015,Dixit Group,SME,Auto_Dealership,Mumbai,Maharashtra,T1,Inbound_Web,CSM_0035,2025-01-30,VERIFIED,Silver,True,2025-01-30 17:00:00,2026-02-25
VP_C_00000016,Bakshi Ltd,SME,Food_Beverage,Bengaluru,Karnataka,T1,Agency,CSM_0024,2023-01-21,VERIFIED,Bronze,True,2023-01-21 10:00:00,2026-03-10
