subscription_id,customer_id,plan_type,plan_mrr,subscription_start,subscription_end,churn_date,churn_reason,is_churned,renewal_count,last_renewal_date,discount_pct,contract_type
SUB_00000001,VP_C_00000001,Enterprise,12999.0,2023-07-01,2024-10-04,2024-10-04,Product missing features,True,15,2024-09-23,0,Monthly
SUB_00000002,VP_C_00000002,Starter,1999.0,2025-05-09,2025-06-03,2025-06-03,Better deal elsewhere,True,0,,0,Monthly
SUB_00000003,VP_C_00000003,Starter,1999.0,2025-02-25,,,,False,14,2026-04-21,20,Monthly
SUB_00000004,VP_C_00000004,Enterprise,12999.0,2025-04-11,2025-07-20,2025-07-20,Product missing features,True,3,2025-07-10,15,Monthly
SUB_00000005,VP_C_00000004,Growth,4999.0,2025-09-12,,,,False,5,2025-10-12,10,Monthly
SUB_00000006,VP_C_00000005,Starter,1999.0,2024-12-14,,,,False,16,2026-04-08,15,Monthly
SUB_00000007,VP_C_00000006,Enterprise,12999.0,2023-01-09,2023-02-06,2023-02-06,,True,0,,10,Monthly
SUB_00000008,VP_C_00000007,Starter,1999.0,2023-05-08,2025-03-06,2025-03-06,,True,22,2025-02-26,20,Monthly
SUB_00000009,VP_C_00000008,Enterprise,10832.5,2024-04-18,2024-05-07,2024-05-07,,True,0,,20,Annual
SUB_00000010,VP_C_00000009,Enterprise,12999.0,2024-01-15,2024-09-21,2024-09-21,Settlement delays,True,8,2024-09-11,10,Monthly
SUB_00000011,VP_C_00000010,Growth,4165.83,2025-08-16,,,,False,1,2025-09-15,0,Annual
SUB_00000012,VP_C_00000011,Enterprise,12999.0,2023-07-17,2024-12-03,2024-12-03,Product missing features,True,16,2024-11-08,0,Monthly
SUB_00000013,VP_C_00000012,Starter,1665.83,2024-03-31,,,,False,2,2024-05-30,5,Annual
SUB_00000014,VP_C_00000013,Growth,4165.83,2023-01-10,,,,False,4,2023-05-10,20,Annual
SUB_00000015,VP_C_00000014,Enterprise,10832.5,2023-08-15,,,,False,3,2023-11-13,5,Annual
SUB_00000016,VP_C_00000015,Growth,4999.0,2025-01-30,,,,False,15,2026-04-25,15,Monthly
SUB_00000017,VP_C_00000016,Starter,1665.83,2023-01-21,,,,False,4,2023-05-21,10,Annual
SUB_00000018,VP_C_00000017,Growth,4165.83,2025-02-15,,,,False,2,2025-04-16,0,Annual
