customer_id,company_name,business_type,industry_segment,city,state,tier,acquisition_channel,account_manager_id,onboarding_date,kyc_status,segment_label,is_active,created_at,updated_at,Recency,Frequency,Monetary,plan_type,renewal_count,discount_pct,is_churned
VP_C_00000001,Vala Ltd,SME,Logistics_Transport,Nashik,Maharashtra,T3,Partner_Referral,,2023-07-01,VERIFIED,,False,2023-07-01 10:00:00,2026-01-13,544,120,4181032.33,Enterprise,15,0,True
VP_C_00000002,Prashad Ltd,Freelancer,Food_Beverage,Hyderabad,Telangana,T1,Inside_Sales,CSM_0016,2025-05-09,PENDING,Gold,False,2025-05-09 08:00:00,2026-02-04,302,19,218557.21,Starter,0,0,True
VP_C_00000003,Dugal-Mannan,Startup,Retail_Electronics,Mumbai,Maharashtra,T1,Inbound_Web,CSM_0034,2025-02-25,VERIFIED,,True,2025-02-25 13:00:00,2026-02-06,4,418,6201484.64,Starter,14,20,False
VP_C_00000004,Swamy-Deo,Enterprise,Healthcare_Pharmacy,Jaipur,Rajasthan,T2,Digital_Organic,,2025-04-11,VERIFIED,Silver,True,2025-04-11 09:00:00,2026-03-25,7,167,27577474.94,Enterprise,3,15,True
VP_C_00000004,Swamy-Deo,Enterprise,Healthcare_Pharmacy,Jaipur,Rajasthan,T2,Digital_Organic,,2025-04-11,VERIFIED,Silver,True,2025-04-11 09:00:00,2026-03-25,7,167,27577474.94,Growth,5,10,False
VP_C_00000005,"Varkey, Murty and Lala",SME,Financial_Services,Kolkata,West Bengal,T1,Digital_Organic,CSM_0006,2024-12-14,VERIFIED,Silver,True,2024-12-14 11:00:00,2026-02-18,5,469,17347788.3,Starter,16,15,False
VP_C_00000006,Sen-Shetty,SME,Travel_Hospitality,Kolkata,West Bengal,T1,Inside_Sales,CSM_0002,2023-01-09,VERIFIED,Silver,False,2023-01-09 13:00:00,2026-02-27,1150,20,577533.5,Enterprise,0,10,True
VP_C_00000007,Chauhan Ltd,SME,Travel_Hospitality,Chennai,Tamil Nadu,T1,Inbound_Web,CSM_0006,2023-05-08,VERIFIED,Bronze,False,2023-05-08 14:00:00,2026-01-26,391,649,23896864.13,Starter,22,20,True
VP_C_00000008,"Gala, Venkataraman and Varma",Startup,Retail_Grocery,Hyderabad,Telangana,T1,Field_Sales,CSM_0012,2024-04-18,VERIFIED,Bronze,False,2024-04-18 11:00:00,2026-02-17,694,20,389539.31,Enterprise,0,20,True
VP_C_00000009,"Patla, Bhardwaj and Panchal",Enterprise,Media_Entertainment,Rajkot,Gujarat,T3,Digital_Organic,,2024-01-15,VERIFIED,,False,2024-01-15 17:00:00,2026-02-11,558,69,6531372.78,Enterprise,8,10,True
VP_C_00000010,Chakrabarti-Mody,Startup,Financial_Services,Agra,Uttar Pradesh,T3,Partner_Referral,CSM_0084,2025-08-16,VERIFIED,,True,2025-08-16 18:00:00,2026-03-12,4,63,850846.7,Growth,1,0,False
VP_C_00000011,Ramanathan and Sons,SME,Tech_Startup,Bengaluru,Karnataka,T1,Inside_Sales,CSM_0005,2023-07-17,VERIFIED,Silver,False,2023-07-17 15:00:00,2026-02-19,484,516,17784568.03,Enterprise,16,0,True
VP_C_00000012,"Chahal, Dora and Patla",Freelancer,Education_EdTech,Varanasi,Uttar Pradesh,T3,Inbound_Web,,2024-03-31,VERIFIED,,True,2024-03-31 12:00:00,2026-01-30,4,205,3181443.61,Starter,2,5,False
VP_C_00000013,Tiwari Ltd,Startup,Retail_Fashion,Indore,Madhya Pradesh,T2,Inside_Sales,,2023-01-10,VERIFIED,Bronze,True,2023-01-10 16:00:00,2026-02-15,7,708,11259598.18,Growth,4,20,False
VP_C_00000014,Chaudry LLC,SME,Retail_Grocery,Delhi,Delhi,T1,Partner_Referral,CSM_0017,2023-08-15,VERIFIED,Bronze,True,2023-08-15 18:00:00,2026-03-30,6,979,36838613.69,Enterprise,3,5,False
VP_C_00000015,Dixit Group,SME,Auto_Dealership,Mumbai,Maharashtra,T1,Inbound_Web,CSM_0035,2025-01-30,VERIFIED,Silver,True,2025-01-30 17:00:00,2026-02-25,7,440,15176410.34,Growth,15,15,False
VP_C_00000016,Bakshi Ltd,SME,Food_Beverage,Bengaluru,Karnataka,T1,Agency,CSM_0024,2023-01-21,VERIFIED,Bronze,True,2023-01-21 10:00:00,2026-03-10,4,1164,42482864.08,Starter,4,10,False
VP_C_00000017,"Yogi, Chauhan and Gera",SME,Tech_Startup,Ahmedabad,Gujarat,T1,Digital_Organic,CSM_0001,2025-02-15,VERIFIED,Gold,True,2025-02-15 13:00:00,2026-03-09,5,419,14728143.84,Growth,2,0,False
VP_C_00000018,"Zacharia, Pai and Dutta",SME,Travel_Hospitality,Kolkata,West Bengal,T1,Field_Sales,CSM_0032,2023-10-15,VERIFIED,Silver,False,2023-10-15 08:00:00,2026-02-20,542,331,11247240.75,Growth,11,0,True
VP_C_00000019,Dugar and Sons,SME,Education_EdTech,Patna,Bihar,T3,Partner_Referral,CSM_0084,2024-11-27,VERIFIED,,False,2024-11-27 08:00:00,2026-02-08,50,135,4369778.98,Growth,14,20,True
VP_C_00000020,"Jhaveri, Rajan and Talwar",SME,Food_Beverage,Meerut,Uttar Pradesh,T3,Event,CSM_0078,2025-08-01,VERIFIED,,True,2025-08-01 15:00:00,2026-02-26,4,64,3488258.25,Starter,9,10,False
VP_C_00000021,"Joshi, Ray and Radhakrishnan",Enterprise,Retail_Fashion,Mumbai,Maharashtra,T1,Digital_Organic,CSM_0017,2024-12-27,VERIFIED,Silver,False,2024-12-27 13:00:00,2026-03-24,387,76,12843914.21,Growth,2,0,True
